Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
Binh Dinh Province,Rescuing,F,58,Non_Fatal,N,Evening,20 to 30kg shark
Binh Dinh Province,Swimming,F,60,Non_Fatal,N,Evening,20 to 30kg shark
Florida,Wading,F,10,Non_Fatal,N,Morning,4' shark
Florida,Measuring sharks,M,29,Non_Fatal,N,Afternoon,"Lemon shark, 6'"
Hawaii,Surfing,M,68,Non_Fatal,N,Afternoon,14' shark
Eastern Cape Province,Surfing,M,35,Non_Fatal,N,Morning,2 m shark
Sinai Peninsula,Swimming / treading water,M,24,Non_Fatal,N,Afternoon,"Oceanic whitetip shark, 6'"
Saint-Benoit,Surfing,M,34,Non_Fatal,N,Morning,1.5 m shark
Queensland,Snorkeling,F,60,Non_Fatal,N,Afternoon,2 m shark
New South Wales,Surfing,M,46,Non_Fatal,N,Morning,"Wobbegong shark, 1.6m"
New South Wales,Body boarding,M,18,Non_Fatal,N,Afternoon,"White shark, 2.5m"
South Island,Boogie Boarding,F,14,Non_Fatal,N,Evening,1.5 m shark
Western Province,Standing,M,37,FATAL,Y,Afternoon,White shark
Maputo Province,Swimming,M,27,Non_Fatal,N,Afternoon,"Zambesi shark, 2m "
Queensland,Spearfishing,M,18,Non_Fatal,N,Morning,"Bull shark, 3m"
New Jersey,Diving,M,58,Non_Fatal,N,Afternoon,"Sandtiger shark, 8'"
Florida,Wading,M,10,Non_Fatal,N,Morning,6' shark
California,Fishing,M,31,Non_Fatal,N,Afternoon,Thresher shark
Florida,Surfing,M,18,Non_Fatal,N,Afternoon,4' shark
South Australia,Kayaking,M,25,Non_Fatal,N,Morning,2 m shark
Victoria,Kayaking,M,27,Non_Fatal,N,Morning,"White shark, 4m"
Hawaii,Surfing,M,54,Non_Fatal,N,Morning,6' to 8' shark
Fife,Diving,M,23,Non_Fatal,N,Afternoon,Angel shark
Devon,Fishing,M,39,Non_Fatal,N,Afternoon,Spurdog
North Carolina,Swimming,M,60,FATAL,Y,Evening,Shark involvement prior to death not confirmed
Western Cape Province,Surfing,M,25,FATAL,Y,Afternoon,White shark
California,Swimming,F,22,Non_Fatal,N,Afternoon,"White shark, 5' to 6' juvenile "
Louisiana,Wade Fishing,M,56,Non_Fatal,N,Morning,Bull shark?
Florida,Swimming,F,43,Non_Fatal,N,Afternoon,"Nurse shark, 6'"
New South Wales,Surfing,M,52,Non_Fatal,N,Morning,"Thought to involve a Bronze whale shark, 2m"
St. Johns Reef,Snorkeling,F,50,FATAL,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m"
Off Green Island,Fishing,M,46,Non_Fatal,N,Evening,80 kg shark
Florida,Surfing,M,31,Non_Fatal,N,Morning,blacktip or spinner shark
Florida,Surfing,M,49,Non_Fatal,N,Morning,blacktip or spinner shark
Florida,Surfing,M,55,Non_Fatal,N,Morning,blacktip or spinner shark
North Region,Spearfishing,M,27,Non_Fatal,N,Afternoon,"Blacktip shark, 4'"
Florida,Surfing,M,31,Non_Fatal,N,Afternoon,2' to 3' shark
New South Wales,Surf skiing ,M,40,Non_Fatal,N,Morning,2' to 3' shark
New South Wales,Surfing,M,17,Non_Fatal,N,Evening,Bronze whaler shark?
Florida,Surfing,F,17,Non_Fatal,N,Evening,3' to 4' shark
Hawaii,Swimming,M,61,Non_Fatal,N,Evening,Thought to involve a cookie cutter shark
Western Cape Province,Fishing,M,40,Non_Fatal,N,Afternoon,"Blue shark, 1m"
New South Wales,Surfing,M,15,Non_Fatal,N,Morning,2.6 m shark
New South Wales,Surfing,M,33,Non_Fatal,N,Evening,"White shark, 2.5m "
New South Wales,"Diving, but on the surface when bitten by the shark",M,31,Non_Fatal,N,Morning,"Bull shark, 2.7 m "
New South Wales,Surfing,M,41,Non_Fatal,N,Morning,"White shark, 12' "
Guantanamo Province,Spearfishing,M,15,Non_Fatal,N,Morning,Bull shark
Eastern Cape Province,Swimming,M,25,FATAL,Y,Afternoon,Tiger shark
New South Wales,Snorkeling,M,24,Non_Fatal,N,Morning,"Dusky shark, 2m"
Tasmania,Surfing,F,13,Non_Fatal,N,Afternoon,"White shark, 5m"
New South Wales,Surfing,M,31,Non_Fatal,N,Morning,"White shark, 3.5m"
North Island,Swimming,M,49,Non_Fatal,N,Evening,Broadnose sevengill shark
New South Wales,Kayaking,M,29,Non_Fatal,N,Morning,"White shark, 4m to 5m "
Western Australia,Snorkeling,M,51,FATAL,Y,Morning,4 to 5m white shark
Western Cape Province,Fishing,M,15,Non_Fatal,N,Evening,"Raggedtooth shark, 2m"
New South Wales,Scuba diving,M,34,Non_Fatal,N,Evening,"Grey nurse shark, 3m"
" Split-Dalmatia Count,",Spearfishing,M,43,Non_Fatal,N,Afternoon,5 m white shark
Florida,Surfing,M,40,Non_Fatal,N,Morning,+3' shark
Northern Territory,Swimming,M,43,Non_Fatal,N,Afternoon,Bronze whaler shark
Florida,Swimming,M,32,Non_Fatal,N,Afternoon,2' to 3' juvenile shark
Hawaii,Surfing,M,40,Non_Fatal,N,Afternoon,Tiger shark
New South Wales,Surfing,M,51,Non_Fatal,N,Afternoon,3 m shark
Florida,Surfing,M,52,Non_Fatal,N,Morning,4' shark
Florida,Surfing,M,26,Non_Fatal,N,Morning,6' shark
US Virgin Islands,Treading water,F,38,Non_Fatal,N,Evening,8' bull shark or Caribbean reef shark
Victoria,Surfing,M,31,Non_Fatal,N,Morning,8' white shark or 7-gill shark
North Carolina,Wading,F,8,Non_Fatal,N,Afternoon,3' to 4' shark
Florida,Wading,M,16,Non_Fatal,N,Afternoon,4' shark
Abaco Islands,Spearfishing,M,42,Non_Fatal,N,Morning,"Bull shark, 6' to 7'"
Western Cape Province,Surf skiing ,M,46,Non_Fatal,N,Afternoon,"White shark, 2m"
South Carolina,Swimming,M,37,Non_Fatal,N,Morning,4.5 to 5' shark
California,Kayaking,F,40,Non_Fatal,N,Morning,"White shark, 15'"
South Carolina,Body surfing,F,15,Non_Fatal,N,Evening,5' shark
Pernambuco,Swimming,M,14,Non_Fatal,N,Afternoon,Bull shark
Guerro,Surfing,M,49,Non_Fatal,N,Morning,3 m shark
Western Australia,Swimming,M,37,Non_Fatal,N,Morning,"White shark, 4m"
North Province,Fishing,M,40,Non_Fatal,N,Afternoon,2 small bull sharks
Guerro,Surfing,M,24,FATAL,Y,Afternoon,Tiger shark
Florida,Surfing,M,18,Non_Fatal,N,Morning,4' shark
North Province,Swimming,M,32,Non_Fatal,N,Morning,"Bull shark, 1.8m"
California,Swimming,M,66,FATAL,Y,Morning,"White shark, 12' to 15'"
Florida,Surfing,M,30,Non_Fatal,N,Afternoon,1.5' to 2' shark
New South Wales,Body boarding,M,16,FATAL,Y,Morning,Bull shark
Florida,Surfing,M,52,Non_Fatal,N,Evening,4' to 5' shark
Florida,Walking out of the water after surfing,M,13,Non_Fatal,N,Morning,2.5' shark
Florida,Jet skiing,M,8,Non_Fatal,N,Afternoon,Shark involvement not confirmed
California,Surfing,M,27,Non_Fatal,N,Morning,White shark
Northern Bahamas,Diving,M,49,FATAL,Y,Morning,"A bull shark, according to some of the divers on the boat"
Queensland,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,Non_Fatal,N,Morning,"Mako shark, 90kg"
New South Wales,Surfing,M,31,Non_Fatal,N,Morning,2 m shark
Hawaii,Surfing,M,52,Non_Fatal,N,Morning,Tiger shark
Western Cape Province,Surfing,M,14,Non_Fatal,N,Evening,1.5 to 2 m shark
Florida,Surfing,M,21,Non_Fatal,N,Morning,4' to 5' shark
Florida,Surfing,M,42,Non_Fatal,N,Morning,5' shark
Eastern Cape Province,Surfing,M,37,Non_Fatal,N,Morning,"White shark, 3m to 4m"
Hawaii,Floating,M,32,Non_Fatal,N,Afternoon,Tiger shark
New South Wales,Surf-skiing,F,52,Non_Fatal,N,Morning,"White shark, 2.5m "
Queensland,Spearfishing,M,31,Non_Fatal,N,Afternoon,Bronze whaler shark
California,Surfing,M,22,Non_Fatal,N,Evening,3' to 4' shark
Florida,Surfing,M,16,Non_Fatal,N,Morning,"Blacktip shark, 5'"
Loyalty Islands,Swimming,F,23,FATAL,Y,Morning,Tiger shark
Grand Bahama Island,Spearfishing,F,48,Non_Fatal,N,Afternoon,Caribbean reef shark
Red Sea,Swimming,F,19,Non_Fatal,N,Morning,Oceanic whitetip sharks were in the vicinity
Florida,Surfing,M,23,Non_Fatal,N,Evening,3' shark
Florida,Surfing,F,15,Non_Fatal,N,Morning,9.5' shark?
Florida,Snorkeling,M,14,Non_Fatal,N,Afternoon,"Nurse shark, 2' to 3' "
Florida,Jumping,F,12,Non_Fatal,N,Morning,"18"" to 24"" shark"
Florida,Swimming,M,58,Non_Fatal,N,Morning,Possibly a spinner shark
Hawaii,Body boarding,M,15,Non_Fatal,N,Afternoon,"Tiger shark, 10' to 12' "
California,Surfing,M,24,Non_Fatal,N,Morning,"White shark, 12'"
Florida,Surfing,M,54,Non_Fatal,N,Afternoon,3' shark
Florida,Surfing,M,27,Non_Fatal,N,Morning,3' shark
Florida,Surfing,M,16,Non_Fatal,N,Afternoon,4' to 5' shark
Florida,Floating near boat & observing bioluminesce,M,20,Non_Fatal,N,Evening,Possibly a 6' bull shark
Florida,Swimming,F,15,Non_Fatal,N,Evening, 
Florida,Jumped into the water,F,19,Non_Fatal,N,Afternoon,Possibly a 10' bull shark
Hawaii,Snorkeling,M,36,Non_Fatal,N,Afternoon, 
Territory of Cocos (Keeling) Islands,Wading,M,15,Non_Fatal,N,Morning,"Bronze whaler shark, 1.5 m "
North Carolina,Swimming,M,14,Non_Fatal,N,Afternoon,2' to 3' shark
North Carolina,Wading,F,30,Non_Fatal,N,Afternoon,5' shark
Abaco Islands,Spearfishing,F,48,Non_Fatal,N,Morning,"Bull shark, 5' "
Florida,Surfing,M,20,Non_Fatal,N,Evening,4' shark
Virginia,Reviving a sedated shark,F,40,Non_Fatal,N,Morning,A 10-year-old 94-pound pregnant blacktip reef shark
Kent,Fishing,M,38,Non_Fatal,N,Afternoon,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length"
Western Australia,Wading,F,38,Non_Fatal,N,Afternoon,2.5 m shark
Victoria,Surfing,M,19,Non_Fatal,N,Evening,10' shark
Florida,Surfing,F,21,Non_Fatal,N,Afternoon,4' to 5' shark
Hawaii,Snorkeling,F,63,Non_Fatal,N,Morning,"Tiger shark, 14' "
Florida,Swimming,M,68,Non_Fatal,N,Morning,6' to 8' shark
Queensland,Swimming / jumping off a jetty,F,13,Non_Fatal,N,Evening,"""a small shark"""
Florida,Body boarding,M,12,Non_Fatal,N,Afternoon,blacktip or spinner shark
Florida,Surfing,M,24,Non_Fatal,N,Evening,3' to 4' shark
South Province,Surfing,M,26,Non_Fatal,N,Afternoon,Tiger shark
Florida,Surfing,M,27,Non_Fatal,N,Afternoon,3' shark
Florida,Surfing,M,11,Non_Fatal,N,Evening,4' to 5' shark
New South Wales,Surfing,F,42,Non_Fatal,N,Morning,1.5 m shark
Queensland,Swimming,F,59,Non_Fatal,N,Afternoon,2 to 2.5 m shark
North Province,Spearfishing (free diving),M,30,Non_Fatal,N,Afternoon,Tiger shark
New South Wales,Diving,M,41,Non_Fatal,N,Morning,"White shark, 3m"
Eastern Cape Province,Swimming / Body Surfing,M,24,FATAL,Y,Afternoon,Tiger shark
Hawaii,Surfing,M,24,Non_Fatal,N,Morning,"6' to 8' shark, possibly a tiger shark"
Victoria,Surfing,M,25,Non_Fatal,N,Evening,2.5 to 3 m shark
North Island,Surfing,M,10,Non_Fatal,N,Morning,2 to 3 m shark
California,Surfing,M,43,Non_Fatal,N,Morning,"White shark, 12' to 15' "
KwaZulu-Natal,Fishing,M,25,Non_Fatal,N,Evening,"Raggedtooth shark, 150-kg"
Western Australia,Body boarding,M,15,Non_Fatal,N,Morning,"White shark, 5m "
Hawaii,Swimming,M,29,Non_Fatal,N,Afternoon,2 m to 3 m shark
Oregon,Surfing,M,22,Non_Fatal,N,Evening,"White shark, 16' "
Florida,Playing soccer in the water,M,18,Non_Fatal,N,Afternoon,3' to 3.5' shark
Florida,Swimming,M,55,Non_Fatal,N,Afternoon,Spinner shark
Florida,Standing,M,33,Non_Fatal,N,Evening,3' shark
Western Cape Province,Lifesaving drill,M,24,Non_Fatal,N,Morning,White shark
Oregon,Surfing,M,41,Non_Fatal,N,Afternoon,White shark?
Western Cape Province,Surf-skiing,M,19,Non_Fatal,N,Afternoon,"White shark, 3m to 4m"
Florida,Surfing,M,14,Non_Fatal,N,Afternoon, 
South Carolina,Standing,M,49,Non_Fatal,N,Morning,"Angel shark, 1.2m "
South Carolina,Body boarding,F,14,Non_Fatal,N,Morning,5' to 6' spinner or bull shark
Florida,Surfing,F,22,Non_Fatal,N,Afternoon,Possibly a 1' to 3' blacktip or spinner shark
Florida,Surfing,M,24,Non_Fatal,N,Afternoon,2' to 3' shark
South Carolina,Playing,F,7,Non_Fatal,N,Afternoon,3' to 4' shark
South Australia,Surfing,M,40,Non_Fatal,N,Morning,14' white shark
Hawaii,Spearfishing,M,26,Non_Fatal,N,Afternoon,"Tiger shark, 8' to 12'"
Hawaii,Spearfishing,M,15,Non_Fatal,N,Afternoon,"Grey reef shark, 5' to 8' "
Guam,Scuba diving,F,30,Non_Fatal,N,Afternoon,"Tiger shark, 10' to 12'"
Queensland,Snorkeling,M,46,Non_Fatal,N,Afternoon,"Wobbegong shark, 2 m "
Florida,Fishing,M,35,Non_Fatal,N,Afternoon,"Bull shark, 4' to bull shark"
New South Wales,Surfing,M,15,Non_Fatal,N,Afternoon,"Bronze whaler shark, a  juvenile "
Eastern Cape Province,Body boarding,M,15,Non_Fatal,N,Evening,"Raggedtooth shark, 2.5 m to 3 m "
Pernambuco,Swimming,M,35,Non_Fatal,N,Afternoon,Tiger shark
Hawaii,Surfing,F,28,Non_Fatal,N,Morning,"Tiger shark, 10'  "
Vitu Levu,Surfing,M,21,Non_Fatal,N,Evening,"Tiger shark, 5' "
New South Wales,Surfing,M,15,Non_Fatal,N,Evening,"Bronze whaler shark, 2 m"
Hawaii,Standing,F,15,Non_Fatal,N,Afternoon,5' to 7' shark
Eastern Cape Province,Surfing,M,15,Non_Fatal,N,Evening,Raggedtooth shark
Vava'u,Swimming,F,24,FATAL,Y,Evening,Tiger shark
Hawaii,Kayaking,M,57,Non_Fatal,N,Afternoon,12' to 18' shark
Western Australia,Scuba diving,M,52,Non_Fatal,N,Morning,3.5 m white shark
Queensland,Swimming,F,21,FATAL,Y,Evening,Bull shark
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,4' shark
Oregon,Surfing,M,30,Non_Fatal,N,Afternoon,White shark
Hawaii,Swimming,M,29,Non_Fatal,N,Morning,Tiger shark
Queensland,Spearfishing,M,44,Non_Fatal,N,Morning,Whitetip reef shark
Florida,Surfing,M,23,Non_Fatal,N,Afternoon,4' shark
Victoria,Surfing,M,18,Non_Fatal,N,Evening,1.8 m shark
Florida,Surfing,M,30,Non_Fatal,N,Afternoon,4' shark
Eastern Cape Province,Fishing for sharks,M,32,Non_Fatal,N,Afternoon,"Raggedtooth shark, 2.5m "
Florida,Surfing,M,18,Non_Fatal,N,Afternoon,6' shark
California,Surfing,M,26,Non_Fatal,N,Morning,12' to 14' white shark
Simpson Bay,Standing,M,55,Non_Fatal,N,Morning,2' shark
Western Cape Province,Standing / Surfing,M,20,Non_Fatal,N,Morning,3 m shark
California,Surfing,M,36,Non_Fatal,N,Morning,White shark
California,Surfing,F,20,Non_Fatal,N,Morning,18' white shark
Hawaii,Surfing,M,22,Non_Fatal,N,Evening,"Tiger shark, less than 10'"
East Wall,Scuba diving,F,57,Non_Fatal,N,Afternoon,Caribbean reef sharks
Western Cape Province,Surf-skiing,M,52,Non_Fatal,N,Afternoon,White shark
South Australia,Surfing,M,26,Non_Fatal,N,Afternoon,14' to 16' white shark
Western Australia,Surfing,M,44,Non_Fatal,N,Morning,Bronze whaler shark
South Carolina,Body surfing,F,68,Non_Fatal,N,Afternoon,3' to 4' shark
North Carolina,Wading,F,18,Non_Fatal,N,Afternoon,Bull shark
South Australia,Surfing,M,40,Non_Fatal,N,Afternoon,4 m [13'] white shark
South Australia,Scuba diving,M,23,FATAL,Y,Afternoon,White shark
California,Surfing,M,37,Non_Fatal,N,Morning,juvenile white shark
South Carolina,Swimming,M,8,Non_Fatal,N,Morning,Possibly a sandbar shark or small blacktip shark
North Carolina,Surfing,M,16,Non_Fatal,N,Morning,1.8 m [6'] shark
North Carolina,Swimming,M,22,Non_Fatal,N,Afternoon,[4.5' to 5'] shark
Texas,Holding onto an inflatable boat,F,14,Non_Fatal,N,Afternoon,[4' to 5']
Florida,Fishing,M,16,Non_Fatal,N,Morning,Bull shark
Florida,Swimming with boogie board,F,14,FATAL,Y,Morning,1.8 m [6'] bull shark
Malampa Province,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
Florida,Swimming,M,20,Non_Fatal,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound"
Western Cape Province,Spearfishing (Free diving),M,22,FATAL,Y,Afternoon,White shark
Florida,Swimming,M,33,Non_Fatal,N,Evening,"""small shark"""
Eastern Cape Province,Surfing,M,32,Non_Fatal,N,Morning,Raggedtooth shark
Hawaii,Surfing,M,47,Non_Fatal,N,Morning,"Tiger shark, 3 m [10']"
New South Wales,Fishing,M,25,Non_Fatal,N,Evening,"Mako shark, 1.5 m [5'] "
New South Wales,Surfing,M,40,Non_Fatal,N,Morning,Bronze whaler shark
Western Cape Province,Surfing,M,32,Non_Fatal,N,Morning,4 m [13'] shark
Western Australia,Snorkeling,M,26,FATAL,Y,Afternoon,6 m [20'] white shark
New Mexico,Diving in aquarium display tank,M,45,Non_Fatal,N,Afternoon,"Sandtiger shark, 2.1 m [7'] "
North Island,Fishing from a kayak,M,39,Non_Fatal,N,Afternoon,White shark
South Australia,Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,Afternoon,4.5 m & 5 m white shark 
Queensland,Spearfishing,M,38,FATAL,Y,Afternoon,Bull shark
Eastern Cape Province,Surfing,M,20,Non_Fatal,N,Evening,Raggedtooth shark
Western Cape Province,Swimming,F,77,FATAL,Y,Morning,6 m [20'] white shark
California,Surfing,lli,38,Non_Fatal,N,Afternoon,5.5 m [18'] white shark
Camaguey Province,Diving,M,40,Non_Fatal,N,Afternoon,2.5 m [8.25'] bull shark
Western Cape Province,Chumming for white sharks,M,52,Non_Fatal,N,Morning,2 m [6.75'] white shark
New South Wales,Surfing,M,59,Non_Fatal,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] "
Hawaii,Spearfishing,M,34,Non_Fatal,N,Afternoon,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
Eastern Cape Province,Surfing,M,34,Non_Fatal,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
ConservatÃ³ria District,Body boarding,M,15,Non_Fatal,N,Afternoon,Thought to involve a 2.5 m bull or tiger shark
Oregon,Surfing,M,26,Non_Fatal,N,Morning,White shark
South Carolina ,Jumping,F,17,Non_Fatal,N,Afternoon,2.4 m [8'] shark
Pernambuco,Bathing,M,24,Non_Fatal,N,Afternoon,"Tiger shark, 1.5 m "
California,Diving,M,50,FATAL,Y,Afternoon,4.9 m to 5.5 m [16' to 18'] white shark
Florida,Swimming,M,47,Non_Fatal,N,Evening,1.2 m [4'] shark
North Carolina,Swimming,F,13,Non_Fatal,N,Evening,1.8 m [6'] shark
Texas,Swimming,F,19,Non_Fatal,N,Afternoon,1.2 m to 1.5 m [4' to 5'] shark
Texas,Wading / fishing & carrying a bag of fish,M,11,Non_Fatal,N,Evening,Bull shark
Western Australia,Surfing,M,30,FATAL,Y,Afternoon,"2 sharks, 4.5 m & 3 m "
Alabama,Wading,M,7,Non_Fatal,N,Afternoon,4' to 5' shark
California,Surfing,M,45,Non_Fatal,N,Morning,"9'2"" white shark"
Western Australia,Body boarding,M,17,Non_Fatal,N,Evening,"Bronze whaler shark, 2.5 m [8.25'] "
Florida,Swimming,M,8,Non_Fatal,N,Evening,1.2 m [4'] shark
Western Cape Province,"Swimming, poaching perlemoen",M,21,FATAL,Y,Afternoon,White shark
Texas,Wading,M,16,Non_Fatal,N,Evening,0.9 m to 1.5 m [3' to 5'] shark
Pernambuco,Swimming,M,17,Non_Fatal,N,Afternoon,Bull shark
California,Surfing,M,44,Non_Fatal,N,Morning,2.4 m to 3.7 m [8' to 12'] shark
Abaco Islands,Free diving & spearfishing,M,63,Non_Fatal,N,Afternoon,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
Texas,Tandem surfing,M,28,Non_Fatal,N,Afternoon,"Mako shark, 1.8 m [6']"
Hawaii,Surfing,M,57,FATAL,Y,Morning,Tiger shark
Western Cape Province,Surfing,M,16,Non_Fatal,N,Afternoon,5 m [16.5'] white shark
Florida,Surfing,M,20,Non_Fatal,N,Morning,1.2 m [4'] bull shark
Pernambuco,Body boarding,M,22,Non_Fatal,N,Morning,bull shark
Saint-BenoÃ®t,Surfing,M,20,Non_Fatal,N,Evening,2.5 m shark
Hawaii,Surfing,M,51,Non_Fatal,N,Morning,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
"South Island, near Karitane north of Dunedin",Surfing,M,15,Non_Fatal,N,Evening,2 m [6.75'] sevengill  shark
Western Australia,Scuba diving,M,46,Non_Fatal,N,Morning,4 m to 5 m [13' to 16.5'] white shark
Anzoategui,Spearfishing,M,40,Non_Fatal,N,Morning,"Bull shark, 132-kg [291-lb] "
KwaZulu-Natal,Spearfishing,M,21,FATAL,Y,Morning,"Tiger shark, 4 m [13']  ?"
Florida,Surfing,F,35,Non_Fatal,N,Afternoon,4' shark
Florida,Surfing,M,18,Non_Fatal,N,Afternoon,1.2 m to 1.5 m [4' to 5'] shark
New South Wales,Surfing,M,22,Non_Fatal,N,Evening,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
Hawaii,Surfing,F,13,Non_Fatal,N,Morning,"Tiger shark, 14' "
Florida,Surfing,M,19,Non_Fatal,N,Afternoon,1.2 m [4'] shark
Hawaii,Wading near a fishing net,F,41,Non_Fatal,N,Afternoon,"1.2 m [4'] ""grey-colored shark"""
Florida,Surfing,M,30,Non_Fatal,N,Afternoon,3' shark
Florida,Body boarding,M,18,Non_Fatal,N,Evening,6' shark
South Carolina,"Standing, stepped on shark",M,15,Non_Fatal,N,Afternoon,7' shark
Western Cape Province,Body boarding,M,19,FATAL,Y,Afternoon,White shark
California,"Swimming, wearing black wetsuit & swim fins",F,50,FATAL,Y,Morning,4.5 m to 5.5 m [15' to 18'] white shark
Eastern Cape Province,Sitting on surfboard,M,16,Non_Fatal,N,Morning,3.5 m [11.5'] white shark
Abaco Islands,Spearfishing,M,58,Non_Fatal,N,Afternoon,Unidentified species
Florida,"Walking, carrying surfboard & stepped on shark",M,10,Non_Fatal,N,Morning,2' shark
Abaco Islands,Spearfishing,M,39,Non_Fatal,N,Afternoon,2.1 m  [7'] bull shark
Florida,Surfing,M,17,Non_Fatal,N,Afternoon,Unidentified species
Florida,Surfing,M,15,Non_Fatal,N,Morning,106 cm [3.5']  shark
Florida,Standing,F,12,Non_Fatal,N,Afternoon,â€œsmall brown sharkâ€
Hawaii,Swimming with pod of dolphins,M,60,Non_Fatal,N,Morning,3.7 m to 4.3 m [12' to 14'] shark
Johnston Atoll,Swimming,M,51,Non_Fatal,N,Afternoon,Unidentified species
North Carolina,Surfing ,M,33,Non_Fatal,N,Evening,"""sand shark"""
Florida,Wading,M,22,Non_Fatal,N,Afternoon,3' to 5' shark
Hawaii,Swimming,M,20,Non_Fatal,N,Morning,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
Florida,Surfing,M,34,Non_Fatal,N,Morning,4' to 5' shark
Pernambuco,Surfing,M,17,Non_Fatal,N,Evening,Bull shark
Florida,Surfing,M,36,Non_Fatal,N,Afternoon,Unidentified species
Florida,Surfing,M,17,Non_Fatal,N,Afternoon,Unidentified species
Florida,Surfing,M,30,Non_Fatal,N,Afternoon,Unidentified species
Florida,Surfing,M,23,Non_Fatal,N,Morning,0.9 m to 1.2 m [3' to 4'] shark
Florida,Surfing,M,18,Non_Fatal,N,Afternoon,Unidentified species
Florida,Jumping,M,11,Non_Fatal,N,Afternoon,A â€œsmallâ€ shark
Florida,Surfing,M,12,Non_Fatal,N,Morning,Unidentified species
Florida,Swimming (using a float),M,20,Non_Fatal,N,Afternoon,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
Nueva Esparta,Surfing,M,28,Non_Fatal,N,Afternoon,"Mako shark, 3 m [10']"
Florida,Surfing,M,50,Non_Fatal,N,Morning,4' to 5' shark
Southland,Scuba diving,M,44,Non_Fatal,N,Morning,2.5 m [8.25'] white shark
South Australia,Wading,M,37,Non_Fatal,N,Evening,"""a small shark"""
Florida,Swimming,M,54,Non_Fatal,N,Afternoon,Species unidentified
New South Wales,Swimming,M,24,Non_Fatal,N,Afternoon,Thought to involve a 2 m [6.75'] grey nurse shark
Queensland,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark
Western Cape Province,Snorkeling,M,25,Non_Fatal,N,Afternoon,"White shark, 4 m white shark"
Queensland,Swimming,M,23,FATAL,Y,Morning,Bull shark
California,Body boarding,M,48,Non_Fatal,N,Morning,3 m to 4.5 m [10' to 15'] white shark
Hawaii,Swimming,F,34,Non_Fatal,N,Morning,2.4 m to 3 m [8' to 10'] grey colored shark
Caicos Bank,Snorkeling,F,41,Non_Fatal,N,Morning,1.8 m to 2.1 m [6' to 7']Â  Caribbean Reef Shark 
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,6' shark
Florida,Boogie boarding,M,16,Non_Fatal,N,Afternoon,3' to 4' shark
Hawaii,Swimming,F,60,Non_Fatal,N,Morning,A â€œsmallâ€ shark
Pernambuco,Swimming,M,36,FATAL,Y,Afternoon,Possibly a bull shark or tiger shark
Florida,Surfing,M,14,Non_Fatal,N,Afternoon,Blacktip or spinner shark
Florida,Surfing,M,35,Non_Fatal,N,Afternoon,3.5' to 4.5' shark
Florida,Surfing,M,18,Non_Fatal,N,Afternoon,3.5' to 4' shark
Florida,Surfing,M,47,Non_Fatal,N,Afternoon,4' to 5' shark
Hawaii,Fishing from Surfboard,M,55,Non_Fatal,N,Afternoon,1.2 m [4'] blacktip shark
Florida,Fishing,M,20,Non_Fatal,N,Afternoon,1.8 m [6'] blacktip shark
Vava'u,Swimming,M,30,Non_Fatal,N,Afternoon,"Tiger shark, 1.5 m [5']k"
Oregon,Boogie boarding or Surfing,M,24,Non_Fatal,N,Evening,2.4 m [8'] shark
California,Surfing,M,35,Non_Fatal,N,Morning,3 m to 3.7 m [10' to 12'] shark
Pernambuco,Swimming,M,19,Non_Fatal,N,Afternoon,Bull or tiger shark
Western Cape Province,Surf skiing,M,47,Non_Fatal,N,Afternoon,White shark
Florida,Boogie boarding,M,20,Non_Fatal,N,Afternoon,4' to 6' shark
Florida,"Wading, when he stepped on the shark",M,36,Non_Fatal,N,Evening,1' to 2' hammerhead or bonnethed shark
Hawaii,Surfing,M,16,Non_Fatal,N,Afternoon,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
Florida,Surfing,M,27,Non_Fatal,N,Afternoon,0.9 m  to 1.2 m [3' to 4'] shark
Florida,Surfing,M,15,Non_Fatal,N,Afternoon,"Nurse shark, 1.5 m [5'] "
North Carolina,Standing,M,14,Non_Fatal,N,Morning,1.2 m to 1.5 m [4' to 5'] shark
South Carolina,Surfing,M,13,Non_Fatal,N,Evening,1.2 m [4'] blacktip or sandbar shark
